,frete,avaliação_cliente,peso_gr,valor_pagamento,tempo_processamento,tempo_espera,entregue_no_prazo
58,18.23,2,250.0,67.23,0.0,18.0,0
59,20.19,1,987.0,298.19,3.0,45.0,0
60,8.72,5,250.0,65.71,4.0,7.0,1
61,11.15,5,1700.0,66.05,0.0,2.0,1
62,12.98,5,400.0,116.98,7.0,11.0,0
63,17.92,4,1450.0,112.92,5.0,25.0,0
64,14.62,5,342.0,243.62,1.0,8.0,1
65,11.85,5,178.0,27.6,1.0,7.0,1
66,17.91,5,1650.0,111.91,1.0,8.0,1
67,18.23,5,250.0,67.23,4.0,18.0,0
68,12.69,5,900.0,59.68,0.0,9.0,1
69,3.94,1,113.0,81.0,2.0,17.0,0
70,26.26,1,150.0,81.0,2.0,17.0,0
71,67.19,5,15300.0,2267.18,0.0,1.0,1
72,27.91,5,4650.0,237.9,3.0,36.0,0
73,37.27,5,17600.0,596.27,1.0,14.0,0
74,19.05,5,4600.0,433.05,0.0,3.0,1
75,19.32,3,700.0,54.22,1.0,9.0,1
76,17.92,3,5600.0,67.42,1.0,21.0,0
77,13.05,4,1250.0,116.95,1.0,16.0,0
78,37.3,5,200.0,6.79,0.0,12.0,0
79,37.3,5,200.0,85.51,0.0,12.0,0
80,12.85,5,1150.0,111.85,1.0,7.0,1
81,8.4,5,600.0,336.86,1.0,7.0,1
82,59.28,5,10300.0,336.86,1.0,7.0,1
83,59.28,5,9000.0,336.86,1.0,7.0,1
84,18.93,5,200.0,168.73,3.0,7.0,1
85,13.37,5,1750.0,50.0,7.0,12.0,0
86,13.37,5,1750.0,13.27,7.0,12.0,0
87,41.3,4,11489.0,159.1,1.0,2.0,1
88,14.58,5,195.0,133.58,1.0,20.0,0
89,14.49,5,850.0,49.49,0.0,16.0,0
90,16.47,5,1050.0,112.74,5.0,8.0,1
93,15.86,5,444.0,173.85,2.0,12.0,0
94,27.36,3,1300.0,85.68,4.0,8.0,1
95,70.89,5,9950.0,199.89,4.0,23.0,0
96,42.38,4,275.0,79.28,1.0,19.0,0
97,15.1,3,150.0,55.18,4.0,13.0,0
99,7.61,5,250.0,115.23,0.0,4.0,1
100,7.62,5,200.0,115.23,0.0,4.0,1
101,15.1,3,1075.0,48.9,0.0,16.0,0
102,67.07,1,17350.0,236.07,1.0,11.0,0
103,48.33,5,3250.0,175.32,5.0,19.0,0
104,7.39,4,300.0,63.39,3.0,4.0,1
105,21.25,5,7550.0,139.75,5.0,10.0,1
106,12.48,5,3700.0,94.76,2.0,10.0,1
108,26.22,5,250.0,196.12,6.0,27.0,0
109,17.32,5,2150.0,76.32,1.0,2.0,1
110,15.78,4,414.0,245.68,1.0,7.0,1
111,12.05,5,300.0,90.05,2.0,4.0,1
112,12.97,5,200.0,88.22,0.0,5.0,1
113,52.48,5,600.0,101.38,1.0,11.0,0
114,11.74,3,450.0,103.28,9.0,11.0,0
116,15.1,5,150.0,45.09,2.0,17.0,0
118,7.39,5,250.0,26.38,0.0,2.0,1
119,8.27,1,125.0,95.52,15.0,16.0,0
121,35.97,5,4250.0,155.77,4.0,13.0,0
122,53.03,5,400.0,383.03,2.0,24.0,0
123,38.59,2,8683.0,145.58,9.0,44.0,0
124,16.6,5,1100.0,51.5,2.0,14.0,0
125,15.2,5,250.0,80.1,10.0,16.0,0
126,19.76,5,1917.0,94.66,1.0,13.0,0
127,15.23,3,200.0,28.93,4.0,11.0,0
128,16.45,5,250.0,115.45,10.0,21.0,0
129,36.21,5,5925.0,136.2,5.0,13.0,0
130,15.1,4,100.0,40.09,4.0,23.0,0
131,13.21,4,400.0,138.21,5.0,12.0,0
132,18.12,5,1740.0,747.12,2.0,6.0,1
134,23.11,5,1100.0,99.11,2.0,9.0,1
135,18.93,1,1000.0,168.83,2.0,29.0,0
136,8.75,5,400.0,277.75,2.0,3.0,1
137,19.04,5,150.0,54.03,0.0,12.0,0
138,12.68,5,1550.0,305.16,3.0,6.0,1
140,17.63,3,100.0,42.52,3.0,8.0,1
141,11.85,5,100.0,31.75,1.0,6.0,1
142,19.8,5,1850.0,99.7,1.0,8.0,1
143,15.39,5,1450.0,170.29,1.0,3.0,1
144,19.06,5,6450.0,376.12,2.0,8.0,1
146,23.09,1,600.0,137.85,1.0,13.0,0
148,5.77,1,300.0,137.85,1.0,13.0,0
149,7.86,5,422.0,94.66,4.0,6.0,1
150,7.78,5,233.0,77.78,5.0,7.0,1
151,16.86,5,240.0,76.66,4.0,25.0,0
152,15.1,1,200.0,129.27,9.0,14.0,0
155,21.32,4,533.0,171.22,4.0,10.0,1
156,11.85,4,400.0,235.05,5.0,15.0,0
161,18.01,1,367.0,123.01,1.0,41.0,0
162,9.24,4,895.0,79.14,5.0,6.0,1
163,10.0,5,200.0,189.9,3.0,5.0,1
164,22.87,4,5450.0,172.87,2.0,5.0,1
165,18.0,5,3250.0,144.99,2.0,12.0,0
166,11.97,5,6050.0,121.87,0.0,1.0,1
167,14.25,2,6050.0,86.25,5.0,34.0,0
168,14.59,5,400.0,538.36,4.0,12.0,0
172,8.48,5,200.0,113.97,0.0,4.0,1
173,32.13,3,10750.0,420.13,3.0,6.0,1
174,9.24,1,200.0,159.14,2.0,3.0,1
175,13.61,5,541.0,363.51,4.0,7.0,1
176,15.1,4,800.0,38.0,2.0,9.0,1
177,25.63,3,11700.0,185.57,11.0,13.0,0
178,18.09,5,4450.0,137.99,0.0,6.0,1
179,12.43,5,5675.0,114.66,4.0,6.0,1
181,7.39,3,213.0,22.34,2.0,6.0,1
182,15.1,3,100.0,40.43,5.0,13.0,0
183,15.23,5,300.0,43.22,1.0,13.0,0
184,34.49,5,400.0,133.48,2.0,10.0,1
185,22.85,5,673.0,311.1,12.0,24.0,0
191,15.38,5,1383.0,105.28,1.0,5.0,1
192,21.02,4,4900.0,96.02,0.0,6.0,1
193,15.94,1,100.0,371.88,1.0,5.0,1
194,15.94,1,150.0,371.88,1.0,5.0,1
195,13.95,5,4000.0,163.95,2.0,6.0,1
196,7.78,3,200.0,6.78,3.0,4.0,1
197,7.78,3,200.0,30.0,3.0,4.0,1
198,16.6,4,1100.0,51.5,8.0,21.0,0
199,8.64,1,2500.0,274.45,2.0,3.0,1
200,25.92,1,1700.0,274.45,2.0,3.0,1
201,19.45,1,263.0,243.45,1.0,21.0,0
202,23.37,5,533.0,173.27,2.0,13.0,0
203,13.48,5,1225.0,141.48,6.0,11.0,0
204,57.49,5,4920.0,756.49,6.0,22.0,0
205,18.31,1,150.0,48.3,0.0,6.0,1
206,10.46,5,651.0,395.46,0.0,8.0,1
207,15.1,2,150.0,61.0,4.0,14.0,0
208,12.48,5,133.0,31.38,2.0,8.0,1
209,7.78,4,200.0,27.68,0.0,5.0,1
210,33.55,5,2600.0,1333.55,4.0,11.0,0
211,13.76,5,900.0,110.16,4.0,11.0,0
212,13.23,5,180.0,59.63,4.0,8.0,1
213,7.79,3,1000.0,84.79,7.0,8.0,1
214,40.63,5,4500.0,120.53,3.0,25.0,0
215,54.43,5,593.0,584.08,0.0,7.0,1
216,9.31,5,425.0,209.3,3.0,6.0,1
217,17.97,4,1400.0,105.94,1.0,25.0,0
219,18.24,1,100.0,70.24,3.0,7.0,1
220,17.67,1,6663.0,192.67,1.0,37.0,0
225,17.83,5,1450.0,100.82,1.0,21.0,0
226,12.79,5,350.0,58.74,2.0,5.0,1
227,16.34,5,2350.0,198.68,7.0,22.0,0
229,15.1,5,350.0,28.4,3.0,18.0,0
230,30.68,4,10075.0,150.67,8.0,19.0,0
231,7.39,5,150.0,43.29,0.0,1.0,1
232,17.02,5,485.0,686.02,0.0,6.0,1
233,15.13,5,1200.0,163.13,1.0,9.0,1
234,15.11,3,950.0,107.02,5.0,20.0,0
236,13.71,5,450.0,43.31,4.0,5.0,1
237,19.47,3,750.0,59.37,1.0,7.0,1
238,44.45,4,1800.0,119.45,5.0,13.0,0
239,25.21,4,425.0,525.21,9.0,24.0,0
240,18.23,5,180.0,31.11,3.0,10.0,1
241,20.8,1,150.0,40.8,4.0,22.0,0
242,9.02,4,700.0,48.02,3.0,4.0,1
243,37.77,5,12250.0,287.77,2.0,7.0,1
244,16.24,5,1383.0,103.14,1.0,11.0,0
245,17.64,1,2200.0,1005.84,0.0,6.0,1
251,21.85,5,1813.0,199.68,7.0,10.0,1
253,25.38,4,400.0,59.38,4.0,24.0,0
254,18.51,4,100.0,76.51,1.0,7.0,1
255,14.1,4,100.0,38.09,1.0,3.0,1
256,16.26,5,1400.0,87.16,3.0,35.0,0
257,14.01,3,450.0,154.89,1.0,6.0,1
258,7.39,1,150.0,38.78,3.0,4.0,1
260,18.22,5,600.0,398.12,10.0,14.0,0
261,14.1,5,250.0,49.0,5.0,18.0,0
262,17.03,5,321.0,102.03,1.0,18.0,0
263,27.51,3,400.0,92.5,2.0,16.0,0
264,25.7,5,438.0,85.6,2.0,17.0,0
265,7.55,5,350.0,52.45,1.0,3.0,1
266,8.27,5,150.0,26.27,0.0,1.0,1
267,26.05,4,645.0,1575.05,0.0,7.0,1
269,19.49,3,1800.0,249.48,3.0,10.0,1
270,23.24,5,2150.0,117.74,4.0,11.0,0
271,21.59,5,593.0,551.49,4.0,18.0,0
272,13.9,3,450.0,249.8,4.0,16.0,0
273,38.02,5,2150.0,197.02,1.0,16.0,0
274,22.93,3,1200.0,251.68,1.0,9.0,1
278,15.1,5,200.0,64.59,0.0,9.0,1
279,13.37,3,3900.0,130.26,1.0,7.0,1
280,18.21,5,1300.0,298.2,1.0,11.0,0
281,8.85,5,450.0,107.85,1.0,3.0,1
283,17.6,3,1050.0,55.0,4.0,11.0,0
285,0.0,5,584.0,99.9,1.0,16.0,0
286,57.92,1,9850.0,236.92,6.0,29.0,0
287,18.72,1,1850.0,87.72,4.0,30.0,0
288,19.21,1,1500.0,65.14,13.0,26.0,0
289,13.44,1,900.0,65.14,13.0,26.0,0
290,26.73,5,600.0,656.72,3.0,12.0,0
291,41.33,5,1650.0,91.23,2.0,10.0,1
292,16.79,5,150.0,56.69,12.0,22.0,0
293,14.1,3,300.0,30.0,19.0,27.0,0
294,23.56,5,1750.0,131.46,1.0,6.0,1
295,34.26,4,5500.0,163.06,4.0,12.0,0
296,20.82,5,3133.0,210.72,2.0,10.0,1
297,15.65,4,250.0,93.65,2.0,6.0,1
298,29.45,5,1833.0,979.45,1.0,6.0,1
299,34.15,3,200.0,74.05,19.0,26.0,0
300,7.88,4,200.0,96.88,1.0,4.0,1
301,59.51,5,15800.0,438.51,5.0,9.0,1
302,13.46,4,7225.0,92.46,5.0,7.0,1
303,16.6,5,1400.0,56.5,4.0,25.0,0
304,28.88,5,733.0,96.78,2.0,10.0,1
305,17.37,1,1800.0,92.27,17.0,28.0,0
306,7.4,5,150.0,27.39,0.0,4.0,1
307,11.85,1,100.0,16.84,2.0,29.0,0
308,27.65,1,1450.0,127.64,1.0,10.0,1
309,26.19,5,1100.0,156.09,1.0,12.0,0
310,98.6,5,5950.0,488.6,1.0,15.0,0
311,85.76,1,6575.0,708.48,1.0,24.0,0
314,75.75,5,3450.0,503.65,0.0,7.0,1
315,18.8,5,483.0,118.7,0.0,4.0,1
316,38.67,1,2150.0,258.67,0.0,6.0,1
317,18.28,5,541.0,88.34,3.0,10.0,1
319,7.78,5,200.0,34.77,1.0,4.0,1
320,16.09,5,416.0,206.92,1.0,14.0,0
321,13.37,5,1400.0,42.17,5.0,8.0,1
322,21.49,3,18950.0,961.49,0.0,4.0,1
323,15.17,5,100.0,75.07,1.0,8.0,1
324,27.24,4,297.0,307.14,1.0,23.0,0
325,18.06,5,3100.0,80.96,0.0,21.0,0
326,36.04,5,4250.0,165.94,6.0,17.0,0
327,17.86,5,1600.0,105.71,4.0,12.0,0
329,25.81,5,10050.0,163.81,1.0,3.0,1
330,8.72,2,217.0,46.71,3.0,10.0,1
331,26.93,2,850.0,82.93,2.0,22.0,0
332,15.1,2,450.0,51.0,0.0,12.0,0
333,23.08,5,1550.0,62.98,0.0,11.0,0
334,17.7,5,700.0,82.7,1.0,11.0,0
335,12.79,5,150.0,61.79,1.0,7.0,1
336,34.15,1,200.0,66.05,1.0,14.0,0
337,17.07,5,173.0,213.74,1.0,17.0,0
339,25.88,5,4050.0,244.78,2.0,8.0,1
340,24.84,5,50.0,59.83,1.0,6.0,1
341,18.99,5,350.0,85.98,0.0,7.0,1
342,7.78,5,50.0,22.7,3.0,5.0,1
343,7.78,5,50.0,3.07,3.0,5.0,1
344,78.2,5,9550.0,517.2,1.0,32.0,0
345,24.15,4,3450.0,133.95,5.0,15.0,0
346,17.81,4,1138.0,196.66,3.0,6.0,1
349,7.87,5,100.0,35.87,3.0,6.0,1
350,17.74,5,5950.0,87.64,1.0,13.0,0
351,19.05,5,300.0,20.0,6.0,15.0,0
352,19.05,5,300.0,50.95,6.0,15.0,0
353,17.26,5,1850.0,67.16,1.0,7.0,1
354,37.26,5,150.0,87.16,3.0,11.0,0
355,16.48,5,350.0,245.48,1.0,11.0,0
356,15.24,5,1600.0,35.11,5.0,9.0,1
357,23.22,5,1975.0,14.52,1.0,14.0,0
358,23.22,5,1975.0,100.0,1.0,14.0,0
359,22.06,5,250.0,72.05,1.0,14.0,0
360,9.63,5,1000.0,189.62,3.0,7.0,1
361,13.15,4,200.0,82.65,0.0,5.0,1
362,25.63,5,1600.0,75.62,4.0,18.0,0
363,15.17,5,150.0,75.16,4.0,7.0,1
365,53.46,5,900.0,243.36,0.0,16.0,0
366,49.85,1,200.0,98.85,4.0,12.0,0
367,16.11,5,425.0,56.01,2.0,12.0,0
368,17.06,4,5500.0,346.96,2.0,19.0,0
369,10.08,3,225.0,201.08,4.0,10.0,1
370,13.45,1,1050.0,190.45,3.0,10.0,1
371,14.45,5,253.0,114.35,2.0,12.0,0
372,21.17,5,2550.0,96.17,1.0,5.0,1
373,22.06,4,250.0,52.05,0.0,11.0,0
374,17.31,4,850.0,317.21,4.0,10.0,1
375,40.46,5,5350.0,259.46,1.0,14.0,0
376,16.41,3,800.0,109.41,6.0,16.0,0
377,17.66,1,200.0,76.65,2.0,7.0,1
378,15.63,1,800.0,75.62,0.0,31.0,0
380,24.83,5,11000.0,244.81,1.0,4.0,1
381,14.13,5,2150.0,159.03,1.0,9.0,1
382,12.48,4,150.0,31.38,2.0,12.0,0
383,10.14,5,1000.0,200.04,4.0,5.0,1
384,15.35,4,370.0,51.25,0.0,22.0,0
385,15.23,3,10000.0,61.23,1.0,11.0,0
386,11.85,4,150.0,37.75,5.0,13.0,0
387,17.28,5,250.0,67.18,0.0,4.0,1
388,28.5,5,8150.0,277.5,0.0,8.0,1
389,15.1,5,550.0,45.07,0.0,6.0,1
390,16.79,5,100.0,36.69,2.0,17.0,0
391,9.26,3,600.0,58.16,0.0,4.0,1
393,21.3,5,2238.0,600.3,1.0,9.0,1
394,7.42,1,150.0,87.32,5.0,7.0,1
395,7.78,4,100.0,20.75,0.0,1.0,1
396,15.1,5,600.0,65.09,3.0,13.0,0
397,27.32,5,1400.0,80.22,0.0,6.0,1
398,27.49,4,3500.0,100.51,0.0,5.0,1
399,15.38,4,150.0,105.28,5.0,19.0,0
400,13.23,4,550.0,56.13,2.0,5.0,1
401,9.16,5,1233.0,196.32,4.0,6.0,1
403,31.44,5,584.0,144.34,2.0,22.0,0
404,16.73,5,1431.0,1337.19,7.0,12.0,0
407,14.52,1,400.0,67.52,3.0,6.0,1
408,14.52,1,400.0,60.0,3.0,6.0,1
409,15.23,4,350.0,45.13,7.0,21.0,0
410,7.6,1,250.0,56.6,1.0,6.0,1
411,18.45,5,200.0,68.35,0.0,7.0,1
412,25.63,5,150.0,40.53,5.0,11.0,0
413,7.78,5,100.0,57.68,2.0,7.0,1
414,27.27,2,1700.0,197.07,0.0,15.0,0
415,13.64,3,5700.0,102.64,9.0,11.0,0
416,17.07,3,450.0,106.97,1.0,16.0,0
417,12.47,5,1400.0,244.74,4.0,6.0,1
418,12.47,5,1350.0,244.74,4.0,6.0,1
419,15.11,5,1300.0,54.11,10.0,22.0,0
420,7.48,3,150.0,39.48,0.0,2.0,1
422,8.82,5,350.0,54.72,2.0,2.0,1
423,15.33,5,225.0,98.33,4.0,20.0,0
424,34.27,5,11875.0,204.26,14.0,18.0,0
425,35.67,3,650.0,74.07,3.0,25.0,0
426,18.65,5,400.0,97.65,1.0,6.0,1
427,15.66,5,1300.0,80.56,0.0,10.0,1
428,51.12,3,7650.0,230.12,1.0,11.0,0
429,12.97,5,4450.0,102.87,1.0,3.0,1
430,11.06,1,400.0,76.05,1.0,7.0,1
431,15.66,5,350.0,145.56,0.0,13.0,0
432,17.41,4,3050.0,117.31,1.0,4.0,1
433,14.45,5,300.0,114.22,1.0,4.0,1
434,17.92,5,1400.0,56.42,1.0,8.0,1
435,28.97,3,125.0,58.97,3.0,26.0,0
436,11.74,5,733.0,41.64,1.0,6.0,1
437,15.12,5,350.0,67.76,4.0,14.0,0
438,13.74,5,207.0,101.74,3.0,7.0,1
439,14.85,5,1136.0,349.7,2.0,8.0,1
441,18.82,2,1600.0,117.82,3.0,10.0,1
442,16.21,4,500.0,225.21,3.0,6.0,1
443,12.69,5,450.0,44.59,11.0,19.0,0
444,18.44,1,1500.0,188.44,1.0,29.0,0
445,13.86,5,1037.0,133.85,0.0,6.0,1
446,15.1,5,450.0,25.85,5.0,14.0,0
447,19.99,5,200.0,109.89,2.0,10.0,1
448,16.79,5,150.0,41.69,1.0,7.0,1
449,8.61,5,336.0,257.61,3.0,4.0,1
450,8.64,4,1110.0,58.63,4.0,7.0,1
451,16.97,5,4105.0,134.27,2.0,9.0,1
452,7.39,5,150.0,27.29,5.0,5.0,1
453,17.87,4,1500.0,106.87,2.0,24.0,0
454,58.19,5,383.0,1157.19,6.0,21.0,0
455,7.39,5,200.0,30.38,3.0,4.0,1
456,15.88,5,550.0,32.13,4.0,10.0,1
457,15.88,5,550.0,46.15,4.0,10.0,1
458,75.06,5,10100.0,233.06,0.0,8.0,1
459,14.33,5,1450.0,37.73,0.0,8.0,1
460,14.33,5,1450.0,62.0,0.0,8.0,1
461,16.08,5,4338.0,206.07,2.0,7.0,1
462,16.16,1,825.0,73.15,2.0,16.0,0
463,34.11,1,427.0,204.0,0.0,6.0,1
464,0.09,1,431.0,204.0,0.0,6.0,1
465,17.49,1,200.0,167.49,1.0,24.0,0
466,8.72,3,300.0,14.72,1.0,9.0,1
467,35.98,5,600.0,129.98,3.0,17.0,0
468,14.61,5,1200.0,57.58,0.0,14.0,0
469,8.84,5,100.0,233.84,2.0,5.0,1
470,18.93,5,1600.0,117.93,5.0,15.0,0
471,13.51,5,10950.0,89.41,0.0,3.0,1
472,16.95,5,150.0,180.8,5.0,23.0,0
473,16.95,5,107.0,180.8,5.0,23.0,0
474,23.36,5,1100.0,103.35,8.0,16.0,0
475,27.74,4,500.0,122.7,5.0,9.0,1
476,0.06,4,1400.0,122.7,5.0,9.0,1
477,16.86,4,1813.0,103.86,1.0,7.0,1
478,16.11,5,1250.0,44.61,1.0,16.0,0
479,53.35,3,15800.0,1040.35,4.0,33.0,0
480,16.21,5,700.0,81.21,2.0,14.0,0
481,23.43,4,3100.0,443.33,2.0,9.0,1
482,46.94,4,1750.0,105.84,3.0,24.0,0
484,15.21,5,1500.0,80.11,1.0,6.0,1
485,21.67,5,1400.0,190.57,2.0,6.0,1
486,23.35,5,1350.0,266.5,3.0,7.0,1
488,16.39,5,800.0,106.29,1.0,6.0,1
489,25.52,5,5500.0,394.52,2.0,9.0,1
490,12.79,4,217.0,26.79,3.0,6.0,1
491,29.56,5,10300.0,359.46,1.0,3.0,1
492,19.67,5,501.0,319.66,2.0,12.0,0
493,24.89,3,300.0,81.88,2.0,17.0,0
494,14.37,1,200.0,103.37,1.0,19.0,0
495,11.85,5,217.0,46.84,1.0,7.0,1
496,18.0,5,600.0,267.99,0.0,4.0,1
497,16.24,4,700.0,85.14,2.0,16.0,0
498,17.95,5,1250.0,117.94,0.0,8.0,1
499,7.78,4,150.0,36.77,2.0,5.0,1
500,61.36,5,250.0,216.26,2.0,10.0,1
501,17.29,5,950.0,206.29,1.0,8.0,1
502,20.94,3,10664.0,415.94,9.0,10.0,1
503,20.59,1,600.0,719.76,5.0,15.0,0
504,16.88,5,750.0,106.78,2.0,8.0,1
505,14.0,1,10225.0,153.9,1.0,6.0,1
506,16.25,5,600.0,86.15,1.0,7.0,1
507,23.98,5,450.0,348.98,2.0,16.0,0
508,16.95,3,4475.0,116.94,0.0,14.0,0
509,17.13,1,200.0,45.03,8.0,12.0,0
510,23.28,5,556.0,90.36,3.0,6.0,1
512,15.23,4,150.0,32.23,6.0,13.0,0
513,9.71,1,180.0,89.61,0.0,6.0,1
514,26.45,4,412.0,1251.44,8.0,18.0,0
515,16.33,5,1383.0,106.23,2.0,12.0,0
516,64.8,5,900.0,428.8,4.0,14.0,0
517,0.0,5,2600.0,69.9,1.0,15.0,0
518,22.85,4,200.0,38.95,1.0,24.0,0
519,20.8,4,300.0,111.4,5.0,21.0,0
522,37.3,4,600.0,317.64,1.0,3.0,1
524,22.99,3,700.0,118.89,1.0,22.0,0
525,17.03,5,512.0,101.93,2.0,9.0,1
526,47.92,3,2350.0,227.82,9.0,16.0,0
527,21.2,3,2400.0,362.38,1.0,14.0,0
529,17.95,5,1150.0,117.85,2.0,9.0,1
530,17.38,4,350.0,112.38,1.0,20.0,0
531,18.23,5,100.0,53.13,2.0,9.0,1
532,13.44,5,1550.0,73.34,5.0,14.0,0
533,12.98,5,342.0,224.98,4.0,10.0,1
534,17.63,1,125.0,75.24,1.0,17.0,0
536,36.03,5,300.0,355.03,1.0,19.0,0
537,18.11,5,300.0,257.1,1.0,14.0,0
538,21.73,4,425.0,50.0,5.0,18.0,0
539,21.73,4,425.0,521.73,5.0,18.0,0
540,23.35,5,2250.0,102.35,0.0,4.0,1
541,15.1,3,250.0,59.1,1.0,8.0,1
542,12.75,5,1700.0,162.65,6.0,13.0,0
543,26.7,5,5500.0,304.7,3.0,11.0,0
544,10.96,5,400.0,40.95,0.0,5.0,1
545,20.19,5,5500.0,213.65,4.0,13.0,0
546,20.19,5,5500.0,136.44,4.0,13.0,0
547,42.89,5,19300.0,373.78,1.0,2.0,1
550,19.61,3,1275.0,79.51,4.0,7.0,1
551,25.6,5,10600.0,210.6,2.0,7.0,1
552,19.14,4,250.0,168.04,3.0,9.0,1
553,15.23,5,600.0,56.03,3.0,20.0,0
554,16.95,3,4475.0,116.94,0.0,20.0,0
555,18.17,3,1050.0,102.17,1.0,16.0,0
556,17.81,4,1183.0,97.71,2.0,8.0,1
557,15.1,5,275.0,26.7,3.0,11.0,0
558,35.03,5,550.0,210.03,0.0,11.0,0
559,55.42,5,17550.0,195.32,1.0,12.0,0
560,9.34,3,800.0,34.24,5.0,6.0,1
561,14.1,4,200.0,63.1,1.0,12.0,0
562,7.78,5,190.0,37.77,1.0,1.0,1
563,10.96,4,250.0,59.96,2.0,16.0,0
564,27.16,5,4250.0,146.96,3.0,23.0,0
565,38.99,5,6050.0,148.99,1.0,4.0,1
566,9.51,1,1200.0,109.5,1.0,4.0,1
567,12.48,5,327.0,58.38,2.0,10.0,1
568,11.39,5,1938.0,121.39,0.0,1.0,1
569,9.02,1,900.0,47.02,4.0,6.0,1
570,12.43,5,5600.0,272.33,5.0,8.0,1
571,18.23,5,183.0,60.23,6.0,20.0,0
572,16.08,5,1000.0,206.08,6.0,56.0,0
573,11.85,5,150.0,37.75,3.0,9.0,1
574,18.29,5,1200.0,88.19,1.0,4.0,1
575,12.79,5,250.0,25.78,3.0,7.0,1
576,7.63,5,200.0,61.12,1.0,3.0,1
577,62.77,5,1000.0,136.76,0.0,13.0,0
578,8.72,5,426.0,28.72,0.0,1.0,1
579,14.1,4,200.0,49.0,3.0,7.0,1
580,19.8,4,250.0,138.8,1.0,18.0,0
581,15.65,4,200.0,58.64,0.0,15.0,0
582,16.39,5,250.0,106.38,1.0,9.0,1
583,12.7,2,311.0,311.7,2.0,16.0,0
584,11.86,5,1250.0,66.86,1.0,12.0,0
585,27.5,5,6400.0,196.5,2.0,15.0,0
586,14.34,5,925.0,123.34,3.0,9.0,1
587,15.1,5,50.0,58.09,5.0,14.0,0
588,36.28,4,5200.0,175.68,2.0,3.0,1
589,21.64,4,1750.0,136.54,1.0,18.0,0
590,2.2,5,207.0,201.46,1.0,8.0,1
591,25.26,5,321.0,201.46,1.0,8.0,1
592,22.66,2,2350.0,152.56,0.0,6.0,1
593,17.59,5,125.0,165.59,6.0,14.0,0
594,16.79,2,350.0,66.74,0.0,57.0,0
595,14.43,1,3475.0,114.42,7.0,12.0,0
596,5.22,1,300.0,181.57,2.0,3.0,1
597,10.45,1,400.0,181.57,2.0,3.0,1
598,7.78,1,150.0,161.04,7.0,28.0,0
601,19.89,4,2650.0,349.89,0.0,6.0,1
603,34.24,5,2500.0,134.14,4.0,11.0,0
604,15.52,3,1000.0,247.04,2.0,16.0,0
606,13.86,5,1150.0,84.76,6.0,10.0,1
607,14.83,5,7175.0,289.83,1.0,1.0,1
608,15.63,3,600.0,75.53,5.0,15.0,0
609,12.69,5,275.0,30.49,0.0,1.0,1
611,14.36,5,2200.0,93.84,0.0,14.0,0
612,14.36,5,2200.0,104.86,0.0,14.0,0
615,7.87,5,150.0,53.87,1.0,3.0,1
616,19.62,3,1500.0,73.52,1.0,22.0,0
617,15.1,1,100.0,70.0,3.0,15.0,0
